Company_Name,Website_URL,Industry
Apple Inc.,https://www.apple.com,Technology
Microsoft Corporation,https://www.microsoft.com,Technology
Nike Inc.,https://www.nike.com,Retail/Fashion
Starbucks Corporation,https://www.starbucks.com,Food & Beverage
Tesla Inc.,https://www.tesla.com,Automotive
Netflix Inc.,https://www.netflix.com,Entertainment
Adobe Inc.,https://www.adobe.com,Software
Spotify Technology,https://www.spotify.com,Music Streaming
Airbnb Inc.,https://www.airbnb.com,Travel
Uber Technologies,https://www.uber.com,Transportation
Cafe du Cerf,https://cafeducerf.ch,Food & Beverage
tibits,https://tibits.ch,Food & Beverage
Kung Fu Burger GmbH,https://kungfu-burger.com,Food & Beverage
Swiss-Chalet Merlischachen AG,https://swiss-chalet.ch,Food & Beverage
Aunty & Uncle Lausanne SA,https://unclegau.ch,Food & Beverage
EDITION,https://shms-mail.ch,Food & Beverage
The November Company,https://thenovembercompany.com,Food & Beverage
Hiltl,https://hiltl.ch,Food & Beverage
Gastronomica,https://gastronomica.co.uk,Food & Beverage
Hotel d'Angleterre - part of The Red Carnation Hotel Collection,https://dangleterrehotel.com,Food & Beverage
Fork & Bottle,https://forkandbottle.ch,Food & Beverage
Kafi Freud,https://kafifreud.ch,Food & Beverage
Hotel d'Angleterre - part of The Red Carnation Hotel Collection,https://dangleterrehotel.com,Food & Beverage
Zermatt Hospitality Group AG,https://zhg.swiss,Food & Beverage
GlouGlou Luzern,https://glouglou-luzern.ch,Food & Beverage
Grand Hotel National Luzern,https://grandhotel-national.com,Food & Beverage
Tasted Food AG,https://tasted.ch,Food & Beverage
Lou's Restaurant & Bar,https://lous-restaurant.ch,Food & Beverage
AmRest,https://amrest.eu,Food & Beverage
Nimaya,,Food & Beverage
Becanto Coffee & Brunch,https://becanto.ch,Food & Beverage
California Bakery,https://californiabakery.it,Food & Beverage
Rosetta Bakery,https://rosettabakery.com,Food & Beverage
Hôtel Beau-Rivage Genève,https://beau-rivage.com,Food & Beverage
Zenhäusern Frères SA Sion,https://chezzen.ch,Food & Beverage
The Zermatt Kollektiv AG,https://zermattkollektiv.ch,Food & Beverage
Cafe du Cerf,https://cafeducerf.ch,Food & Beverage
Bellevue Palace Bern,https://bellevue-palace.ch,Food & Beverage
WMF Professional Hotel Equipment,https://wmf-professional.de,Food & Beverage
McDonald's,https://mcdonalds.com,Food & Beverage
The Cambrian Adelboden,https://thecambrianadelboden.com,Food & Beverage
Einstein St.Gallen,https://einstein.ch,Food & Beverage
Zermatt Hospitality Group AG,https://zhg.swiss,Food & Beverage
Sorell Hotel Seidenhof,https://sorellhotels.com,Food & Beverage
InterContinental Genève,https://ihg.com,Food & Beverage
tibits,https://tibits.ch,Food & Beverage
Fork & Bottle,https://forkandbottle.ch,Food & Beverage
InterContinental Genève,https://ihg.com,Food & Beverage
Maison Ladurée,https://laduree.fr,Food & Beverage
"The Home Hotel Zürich, a member of Design Hotels™",https://thehomehotel.ch,Food & Beverage
"Hôtel des Trois Couronnes, Vevey, Switzerland",https://hoteltroiscouronnes.ch,Food & Beverage
Acasa Suites Zurich,https://acasasuites.com,Food & Beverage
Volkshaus Basel Betriebs AG,https://volkshaus-basel.ch,Food & Beverage
Placid Hotel Design & Lifestyle Zurich,https://placid.ch,Food & Beverage
Tête de Course,https://tetedecourse.ch,Food & Beverage
Restaurant Brands International,https://rbi.com,Food & Beverage
Lagos Oriental Hotel,https://lagosoriental.com,Food & Beverage
Commercio Gastronomie,https://commercio.ch,Food & Beverage
Biovinum,https://biovinum.ch,Food & Beverage
chez Smith,https://chez-smith.ch,Food & Beverage
Hirschen Eggiwil,https://hirschen-eggiwil.ch,Food & Beverage
achesa Management AG - achesa hotels Switzerland,https://a-chesa.ch,Food & Beverage
Spaghetti Gastro Group,https://spaghettigastrogroup.com,Food & Beverage
Sala Lodges,https://salalodges.com,Food & Beverage
